date,city,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,home_team,away_team,home_score,away_score,competition,stadium,country,neutral,world_cup
2013-06-08,Auckland,93110,Winter,13.9,7.8,17.1,0.0,,New Zealand,France,23,13,2013 French tour to New Zealand,Eden Park,New Zealand,False,False
2013-06-15,Buenos Aires,87582,Winter,11.4,8.2,,,,Argentina,England,26,51,2013 England tour of Argentina,Vélez Sársfield,Argentina,False,False
2013-06-15,Nelspruit,68296,Winter,14.5,1.1,28.3,,,South Africa,Scotland,30,17,South African Quadrangular tournament,Mbombela Stadium,South Africa,False,False
2013-06-15,Christchurch,93781,Winter,7.2,2.7,8.2,0.0,,New Zealand,France,30,0,2013 French tour to New Zealand,Rugby League Park,New Zealand,False,False
2013-06-22,Pretoria,68263,Winter,13.8,,22.6,,,Scotland,Italy,30,29,South African Quadrangular tournament third place final,Loftus Versfeld,South Africa,True,False
2013-06-22,New Plymouth,93309,Winter,7.8,2.5,13.1,0.5,,New Zealand,France,24,9,2013 French tour to New Zealand,Yarrow Stadium,New Zealand,False,False
2013-08-17,Sydney,94767,Winter,17.2,12.0,25.5,0.0,24.6,Australia,New Zealand,29,47,2013 Rugby Championship,Stadium Australia,Australia,False,False
2013-08-24,Wellington,93439,Winter,12.6,9.8,15.3,,,New Zealand,Australia,27,16,2013 Rugby Championship,Wellington Regional Stadium,New Zealand,False,False
2013-09-07,Hamilton,78016,Autumn,26.4,22.7,29.0,0.0,10.4,New Zealand,Argentina,28,13,2013 Rugby Championship,Waikato Stadium,New Zealand,False,False
2013-09-07,Hamilton,93119,Spring,14.2,12.0,16.0,,20.8,New Zealand,Argentina,28,13,2013 Rugby Championship,Waikato Stadium,New Zealand,False,False
2013-09-07,Brisbane,94576,Spring,,12.3,25.6,0.0,,Australia,South Africa,12,38,2013 Rugby Championship,Lang Park,Australia,False,False
2013-09-14,Perth,94614,Spring,,11.6,16.3,39.4,,Australia,Argentina,14,13,2013 Rugby Championship,Subiaco Oval,Australia,False,False
2013-09-14,Auckland,93110,Spring,11.6,,14.9,8.4,,New Zealand,South Africa,29,15,2013 Rugby Championship,Eden Park,New Zealand,False,False
2013-09-28,La Plata,87593,Spring,14.6,12.6,18.2,0.0,,Argentina,New Zealand,15,33,2013 Rugby Championship,Estadio Único,Argentina,False,False
2013-09-28,Cape Town,68816,Spring,12.9,9.1,16.6,0.8,13.5,South Africa,Australia,28,8,2013 Rugby Championship,Newlands Stadium,South Africa,False,False
2013-11-02,London,3772,Autumn,11.9,10.1,15.8,0.5,22.0,England,Australia,20,13,2013 Autumn International,Twickenham Stadium,England,False,False
2013-11-09,Saint-Denis,7149,Autumn,8.3,5.4,10.5,22.7,16.7,France,New Zealand,19,26,2013 end-of year test,Stade de France,France,False,False
2013-11-09,Turin,16061,Autumn,10.9,9.6,13.8,0.3,8.4,Italy,Australia,20,50,2013 Autumn International,Stadio Olimpico di Torino,Italy,False,False
2013-11-09,London,3772,Autumn,5.7,3.9,8.2,8.6,10.1,England,Argentina,31,12,2013 Autumn International,Twickenham,England,False,False
2013-11-16,Dublin,3969,Autumn,9.8,7.9,11.1,1.5,18.6,Ireland,Australia,15,32,2013 Autumn International,Lansdowne Road,Ireland,False,False
2013-11-16,London,3772,Autumn,4.9,1.1,10.0,0.0,5.3,England,New Zealand,22,30,2013 Autumn International,Twickenham,England,False,False
2013-11-17,Edinburgh,3171,Autumn,3.8,-1.1,6.6,0.0,5.1,Scotland,South Africa,0,28,2013 Autumn International,Murrayfield,Scotland,False,False
2013-11-23,Saint-Denis,7149,Autumn,5.5,4.5,6.4,0.0,16.0,France,South Africa,10,19,2013 end-of-year test,Stade de France,France,False,False
2013-11-23,Rome,16239,Autumn,7.4,6.8,9.0,23.9,,Italy,Argentina,14,19,2013 end of year test,Stadio Olimpico,Italy,False,False
2013-11-23,Edinburgh,3171,Autumn,2.9,-0.5,8.1,0.0,10.7,Scotland,Australia,15,21,2013 Autumn International,Murrayfield Stadium,Scotland,False,False
2013-11-24,Dublin,3969,Autumn,6.2,1.9,8.1,0.0,10.1,Ireland,New Zealand,22,24,2013 Autumn International,Aviva Stadium,Ireland,False,False
2014-02-01,Saint-Denis,7149,Winter,6.9,5.8,9.0,2.6,19.1,France,England,26,24,2014 Six Nations Championship,Stade de France,France,False,False
2014-02-02,Dublin,3969,Winter,6.4,3.3,9.1,3.4,32.0,Ireland,Scotland,28,6,2014 Six Nations Championship,Aviva Stadium,Ireland,False,False
2014-02-08,Dublin,3969,Winter,6.9,1.5,9.6,4.0,34.8,Ireland,Wales,26,3,2014 Six Nations Championship,Aviva Stadium,Ireland,False,False
2014-02-08,Edinburgh,3171,Winter,5.7,0.6,7.4,5.3,27.9,Scotland,England,0,20,2014 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2014-02-09,Saint-Denis,7149,Winter,6.0,3.8,9.2,0.0,25.5,France,Italy,30,10,2014 Six Nations Championship,Stade de France,France,False,False
2014-02-22,Rome,16239,Winter,11.4,,,1.0,,Italy,Scotland,20,21,2014 Six Nations Championship,Stadio Olimpico,Italy,False,False
2014-02-22,London,3772,Winter,8.1,4.6,10.9,0.0,22.2,England,Ireland,13,10,2014 Six Nations Championship,Twickenham,England,False,False
2014-03-08,Edinburgh,3171,Spring,7.5,1.0,12.0,0.5,25.9,Scotland,France,17,19,2014 Six Nations Championship,Murrayfield,Scotland,False,False
2014-03-08,Dublin,3969,Spring,9.6,2.8,12.2,0.0,36.3,Ireland,Italy,46,7,2014 Six Nations Championship,Aviva Stadium,Ireland,False,False
2014-03-09,London,3772,Spring,12.3,5.8,19.2,0.0,12.2,England,Wales,29,18,2014 Six Nations Championship,Twickenham,England,False,False
2014-03-15,Rome,16239,Spring,12.3,,18.0,0.0,,Italy,England,11,52,2014 Six Nations Championship,Stadio Olimpico,Italy,False,False
2014-03-15,Saint-Denis,7149,Spring,10.6,6.7,15.5,0.0,15.7,France,Ireland,20,22,2014 Six Nations Championship,Stade de France,France,False,False
2014-06-07,Resistencia,87155,Winter,17.8,14.1,,0.0,,Argentina,Ireland,17,29,2014 Ireland rugby union tour of Argentina,Estadio Centenario,Argentina,False,False
2014-06-07,Auckland,93110,Winter,13.0,,18.3,0.0,,New Zealand,England,20,15,2014 England rugby union tour of New Zealand,Eden Park,New Zealand,False,False
2014-06-07,Brisbane,94576,Winter,,13.3,24.4,0.0,,Australia,France,50,23,2014 France tour of Australia,Lang Park,Australia,False,False
2014-06-14,Melbourne,95866,Winter,,8.7,15.4,0.2,,Australia,France,6,0,2014 France tour of Australia,Docklands Stadium,Australia,False,False
2014-06-21,Sydney,94767,Winter,14.6,10.2,20.3,0.0,13.1,Australia,France,39,13,2014 France tour of Australia,Sydney Football Stadium,Australia,False,False
2014-06-21,Nelspruit,68296,Winter,12.6,4.1,25.6,,,South Africa,Wales,31,30,2014 Wales tour of South Africa,Mbombela Stadium,South Africa,False,False
2014-06-21,Hamilton,78016,Summer,26.1,23.3,28.6,0.0,31.7,New Zealand,England,36,13,2014 England rugby union tour of New Zealand,Waikato Stadium,New Zealand,False,False
2014-06-21,Hamilton,93119,Winter,14.1,9.0,16.0,,12.2,New Zealand,England,36,13,2014 England rugby union tour of New Zealand,Waikato Stadium,New Zealand,False,False
2014-06-21,Córdoba,87344,Winter,14.3,5.4,20.5,,24.1,Argentina,Scotland,19,21,2014 Summer International,Estadio Mario Alberto Kempes,Argentina,False,False
2014-08-16,Sydney,94767,Winter,14.4,7.9,16.8,0.0,11.9,Australia,New Zealand,12,12,2014 Rugby Championship,Stadium Australia,Australia,False,False
2014-08-16,Pretoria,68263,Winter,13.4,11.6,24.5,,,South Africa,Argentina,13,6,2014 Rugby Championship,Loftus Versfeld Stadium,South Africa,False,False
2014-08-23,Auckland,93110,Winter,10.3,,15.0,0.0,,New Zealand,Australia,51,20,2014 Rugby Championship,Eden Park,New Zealand,False,False
2014-09-06,Perth,94614,Spring,,16.3,22.2,1.2,,Australia,South Africa,24,23,2014 Rugby Championship,Subiaco Oval,Australia,False,False
2014-09-13,Wellington,93439,Spring,11.8,,17.6,2.0,,New Zealand,South Africa,14,10,2014 Rugby Championship,Westpac Stadium,New Zealand,False,False
2014-09-27,La Plata,87593,Spring,11.5,3.1,,0.0,,Argentina,New Zealand,13,34,2014 Rugby Championship,Estadio Único,Argentina,False,False
2014-09-27,Cape Town,68816,Spring,12.4,7.4,17.0,0.5,18.7,South Africa,Australia,28,10,2014 Rugby Championship,Newlands Stadium,South Africa,False,False
2014-10-18,Brisbane,94576,Spring,,16.1,26.5,0.0,,Australia,New Zealand,28,29,2014 Autumn International,Lang Park,Australia,False,False
2014-11-08,Edinburgh,3171,Autumn,7.4,2.7,9.5,2.5,12.6,Scotland,Argentina,41,31,2014 Autumn International,Murrayfield Stadium,Scotland,False,False
2014-11-08,London,3772,Autumn,10.9,7.6,14.5,4.8,18.8,England,New Zealand,21,24,2014 Autumn International,Twickenham,England,False,False
2014-11-08,Dublin,3969,Autumn,6.9,5.1,9.3,10.2,18.6,Ireland,South Africa,29,15,2014 end-of-year test,Aviva Stadium,Ireland,False,False
2014-11-15,Genoa,16153,Autumn,13.4,11.5,15.6,87.9,32.2,Italy,Argentina,18,20,2014 end of year test,Stadio Luigi Ferraris,Italy,False,False
2014-11-15,Saint-Denis,7149,Autumn,10.3,9.3,13.0,0.2,7.6,France,Australia,29,26,2014 Autumn International,Stade de France,France,False,False
2014-11-15,London,3772,Autumn,9.7,6.4,13.2,9.9,7.4,England,South Africa,28,31,2014 Autumn International,Twickenham,England,False,False
2014-11-15,Edinburgh,3171,Autumn,7.3,2.8,9.1,20.8,6.6,Scotland,New Zealand,16,24,2014 Autumn International,Murrayfield,Scotland,False,False
2014-11-22,Saint-Denis,7149,Autumn,9.8,5.3,15.4,0.0,3.7,France,Argentina,13,18,2014 Autumn International,Stade de France,France,False,False
2014-11-22,Dublin,3969,Autumn,9.1,8.8,10.8,0.3,16.7,Ireland,Australia,26,23,2014 Autumn International,Lansdowne Road,Ireland,False,False
2014-11-29,London,3772,Autumn,10.6,7.3,13.5,0.5,7.9,England,Australia,26,17,2014 Autumn International,Twickenham Stadium,England,False,False
2015-02-07,Rome,16239,Winter,6.9,0.0,,0.5,,Italy,Ireland,3,26,2015 Six Nations Championship,Stadio Olimpico,Italy,False,False
2015-02-07,Saint-Denis,7149,Winter,1.4,-2.4,5.1,0.0,20.9,France,Scotland,15,8,2015 Six Nations Championship,Stade de France,France,False,False
2015-02-14,Dublin,3969,Winter,6.1,3.5,10.1,0.0,14.3,Ireland,France,18,11,2015 Six Nations Championship,Aviva Stadium,Ireland,False,False
2015-02-14,London,3772,Winter,6.6,4.2,8.4,7.1,10.1,England,Italy,47,17,2015 Six Nations Championship,Twickenham,England,False,False
2015-02-15,Edinburgh,3171,Winter,6.3,4.8,9.2,0.5,18.4,Scotland,Wales,23,26,2015 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2015-02-28,Edinburgh,3171,Winter,7.0,4.9,9.0,0.5,24.9,Scotland,Italy,19,22,2015 Six Nations Championship,Murrayfield,Scotland,False,False
2015-02-28,Paris,7149,Winter,4.8,-0.7,10.1,3.6,15.1,France,Wales,13,20,2015 Six Nations Championship,Stade de France,France,False,False
2015-03-01,Dublin,3969,Spring,3.5,3.3,5.8,8.2,32.5,Ireland,England,19,9,2015 Six Nations Championship,Aviva Stadium,Ireland,False,False
2015-03-14,London,3772,Spring,5.7,2.8,8.7,0.0,17.5,England,Scotland,25,13,2015 Six Nations Championship,Twickenham Stadium,England,False,False
2015-03-15,Rome,16239,Spring,9.1,,11.8,1.0,,Italy,France,0,29,2015 Six Nations Championship,Stadio Olimpico,Italy,False,False
2015-03-21,Edinburgh,3171,Spring,5.6,1.2,8.8,0.0,11.7,Scotland,Ireland,10,40,2015 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2015-03-21,Rome,16239,Spring,10.2,,14.0,0.0,,Italy,Wales,20,61,2015 Six Nations,Stadio Olimpico,Italy,False,False
2015-03-21,London,3772,Spring,7.2,5.0,8.9,0.0,13.9,England,France,55,35,2015 Six Nations Championship,Twickenham,England,False,False
2015-07-17,Christchurch,93781,Winter,5.7,,10.2,0.5,,New Zealand,Argentina,39,18,2015 Rugby Championship,AMI Stadium,New Zealand,False,False
2015-07-18,Brisbane,94576,Winter,,6.9,19.4,0.0,,Australia,South Africa,24,20,2015 Rugby Championship,Lang Park,Australia,False,False
2015-08-08,Sydney,94767,Winter,10.9,7.1,15.0,0.0,17.7,Australia,New Zealand,27,19,2015 Rugby Championship,Stadium Australia,Australia,False,False
2015-08-15,London,3772,Summer,16.8,14.2,20.7,1.5,10.5,England,France,19,14,2015 Rugby World Cup warm-up,Twickenham,England,False,False
2015-08-15,Dublin,3969,Summer,11.6,7.0,17.4,0.0,15.5,Ireland,Scotland,28,22,2015 Rugby World Cup warm-up tests,Aviva Stadium,Ireland,False,False
2015-08-15,Buenos Aires,87582,Winter,12.4,9.2,17.0,0.5,11.1,Argentina,South Africa,12,26,2015 Rugby World Cup warm-up match,José Amalfitani Stadium,Argentina,False,False
2015-08-15,Auckland,93110,Winter,11.9,8.8,14.9,10.4,,New Zealand,Australia,41,13,2015 Rugby World Cup warm-up match,Eden Park,New Zealand,False,False
2015-08-22,Turin,16061,Summer,19.3,15.8,22.4,0.0,4.3,Italy,Scotland,12,16,2015 Rugby World Cup warm-ups,Stadio Olimpico di Torino,Italy,False,False
2015-08-22,Saint-Denis,7149,Summer,23.8,15.1,30.8,0.0,9.3,France,England,25,20,2015 Rugby World Cup warm-up,Stade de France,France,False,False
2015-08-29,Dublin,3969,Summer,14.2,11.0,19.0,3.4,16.8,Ireland,Wales,10,16,2015 Rugby World Cup warm-up tests,Aviva Stadium,Ireland,False,False
2015-08-29,Edinburgh,3171,Summer,15.2,12.1,19.8,0.5,23.6,Scotland,Italy,48,7,2015 Rugby World Cup warm-ups,Murrayfield,Scotland,False,False
2015-09-05,London,3772,Autumn,12.7,9.6,16.3,0.5,10.2,England,Ireland,21,13,2015 Rugby World Cup Warm-up,Twickenham,England,False,False
2015-09-05,Saint-Denis,7149,Autumn,14.7,11.1,19.6,2.4,10.7,France,Scotland,19,16,2015 Rugby World Cup warm-up,Stade de France,France,False,False
2015-09-19,London,3772,Autumn,14.5,10.7,19.6,9.7,6.0,France,Italy,32,10,2015 Rugby World Cup Pool D,Twickenham Stadium,England,True,True
2015-09-20,London,3772,Autumn,14.0,9.3,20.2,0.0,10.2,New Zealand,Argentina,26,16,2015 Rugby World Cup Pool match,Wembley Stadium,England,True,True
2015-09-26,London,3772,Autumn,12.3,6.7,18.0,0.0,7.0,England,Wales,25,28,2015 Rugby World Cup Pool A,Twickenham,England,False,True
2015-10-03,London,3772,Autumn,11.8,8.4,16.7,0.0,6.5,England,Australia,13,33,2015 Rugby World Cup Pool match,Twickenham Stadium,England,False,True
2015-10-04,London,3772,Autumn,12.1,7.7,18.2,0.0,9.4,Ireland,Italy,16,9,2015 Rugby World Cup Pool D,Olympic Stadium,England,True,True
2015-10-10,London,3772,Autumn,12.1,8.0,16.2,0.0,10.3,Australia,Wales,15,6,2015 Rugby World Cup Pool match,Twickenham Stadium,England,True,True
2015-10-17,London,3772,Autumn,11.4,10.6,12.8,0.0,14.3,South Africa,Wales,23,19,2015 Rugby World Cup Quarter-final,Twickenham Stadium,England,True,True
2015-10-18,London,3772,Autumn,12.4,10.9,15.7,0.0,9.6,Australia,Scotland,35,34,2015 Rugby World Cup Quarter-final,Twickenham Stadium,England,True,True
2015-10-24,London,3772,Autumn,11.5,8.2,13.7,0.0,12.0,South Africa,New Zealand,18,20,2015 Rugby World Cup Semi-final,Twickenham Stadium,England,True,True
2015-10-25,London,3772,Autumn,7.0,4.1,12.0,3.3,7.8,Argentina,Australia,15,29,2015 Rugby World Cup Semi-finals,Twickenham,England,True,True
2015-10-30,London,3772,Autumn,14.1,11.4,16.3,4.8,16.0,South Africa,Argentina,24,13,2015 Rugby World Cup Bronze final,Olympic Stadium,England,True,True
2015-10-31,London,3772,Autumn,12.6,9.9,18.3,2.8,7.1,New Zealand,Australia,34,17,2015 Rugby World Cup Final,Twickenham Stadium,England,True,True
2016-02-06,Saint-Denis,7149,Winter,10.4,6.5,14.3,0.8,18.3,France,Italy,23,21,2016 Six Nations Championship,Stade de France,France,False,False
2016-02-06,Edinburgh,3171,Winter,4.6,1.1,6.8,1.8,18.2,Scotland,England,9,15,2016 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2016-02-07,Dublin,3969,Winter,4.9,2.5,8.9,7.1,36.4,Ireland,Wales,16,16,2016 Six Nations Championship,Aviva Stadium,Ireland,False,False
2016-02-13,Saint-Denis,7149,Winter,6.1,3.2,9.0,13.9,14.5,France,Ireland,10,9,2016 Six Nations Championship,Stade de France,France,False,False
2016-02-14,Rome,16239,Winter,13.8,11.0,16.0,,17.3,Italy,England,9,40,2016 Six Nations Championship,Stadio Olimpico,Italy,False,False
2016-02-27,Rome,16239,Winter,13.1,11.0,15.0,,26.7,Italy,Scotland,20,36,2016 Six Nations Championship,Stadio Olimpico,Italy,False,False
2016-02-27,London,3772,Winter,4.6,3.0,6.1,0.0,16.5,England,Ireland,21,10,2016 Six Nations Championship,Twickenham,England,False,False
2016-03-12,Dublin,3969,Spring,11.2,9.5,14.8,0.0,16.2,Ireland,Italy,58,15,2016 Six Nations Championship,Aviva Stadium,Ireland,False,False
2016-03-12,London,3772,Spring,6.2,2.8,10.8,0.0,5.4,England,Wales,25,21,2016 Six Nations Championship,Twickenham,England,False,False
2016-03-13,Edinburgh,3171,Spring,8.7,4.1,12.7,0.0,12.1,Scotland,France,29,18,2016 Six Nations Championship,Murrayfield,Scotland,False,False
2016-03-19,Saint-Denis,7149,Spring,5.5,3.4,6.5,0.0,17.4,France,England,21,31,2016 Six Nations Championship,Stade de France,France,False,False
2016-03-19,Dublin,3969,Spring,5.7,3.3,7.6,0.0,14.3,Ireland,Scotland,35,25,2016 Six Nations Championship,Aviva Stadium,Ireland,False,False
2016-05-29,London,3772,Spring,13.8,9.3,19.0,0.0,14.0,England,Wales,27,13,2016 Summer International,Twickenham,England,False,False
2016-06-11,Brisbane,94576,Winter,,12.8,23.7,0.0,,Australia,England,28,39,2016 England tour of Australia,Lang Park,Australia,False,False
2016-06-11,Auckland,93110,Winter,14.3,11.3,17.7,1.8,,New Zealand,Wales,39,21,2016 Wales tour of New Zealand,Eden Park,New Zealand,False,False
2016-06-11,Cape Town,68816,Winter,11.3,5.0,18.0,,14.9,South Africa,Ireland,20,26,2016 Ireland rugby union tour of South Africa,Newlands,South Africa,False,False
2016-06-11,Santa Fe,72365,Summer,26.9,19.4,33.3,0.0,11.2,Argentina,Italy,30,24,2016 mid year test,Estadio B.G Estanislao López,Argentina,False,False
2016-06-18,Melbourne,95866,Winter,,9.6,12.4,8.8,,Australia,England,7,23,2016 England tour of Australia,Melbourne Rectangular Stadium,Australia,False,False
2016-06-18,Wellington,93439,Winter,13.2,11.5,14.4,0.0,,New Zealand,Wales,36,22,2016 Wales tour of New Zealand,Wellington Regional Stadium,New Zealand,False,False
2016-06-25,Sydney,94767,Winter,9.6,6.8,13.6,0.0,27.1,Australia,England,40,44,2016 England tour of Australia,Sydney Football Stadium,Australia,False,False
2016-08-20,Sydney,94767,Winter,12.6,10.0,18.4,0.4,,Australia,New Zealand,8,42,2016 Rugby Championship,Stadium Australia,Australia,False,False
2016-08-27,Salta,87047,Winter,17.6,10.2,31.0,,9.4,Argentina,South Africa,26,24,2016 Rugby Championship,Estadio Padre Ernesto Martearena,Argentina,False,False
2016-08-27,Wellington,93439,Winter,10.7,,13.1,6.6,,New Zealand,Australia,29,9,2016 Rugby Championship,Wellington Regional Stadium,New Zealand,False,False
2016-09-10,Hamilton,78016,Autumn,28.9,27.0,31.0,0.0,14.0,New Zealand,Argentina,57,22,2016 Rugby Championship,Waikato Stadium,New Zealand,False,False
2016-09-10,Hamilton,93119,Spring,9.8,7.0,14.0,,16.5,New Zealand,Argentina,57,22,2016 Rugby Championship,Waikato Stadium,New Zealand,False,False
